,price_perc-2w,price_perc-4w,price_perc-6w,price_perc-8w,production_tons-1m_sum,production_tons-12m_sum,production_tons-3m_sum,production_tons-6m_sum,production_tons-9m_sum,tmin,tmax,tmed,prec,racha,prec-4w_sum,prec-13w_sum,prec-26w_sum,prec-52w_sum,tmed-4w_mean,freeze_damage,week_nr,increase
1,0.0038149104190414005,0.011937801771661063,-3.756856262670634e-05,-0.031333480484148725,1110.890000000014,504988.38,1269.1499999999942,1132.4599999999919,131681.75999999998,1.8,22.6,10.21,15.2,18.1,119.20000000000002,296.89999999999986,296.89999999999986,1433.8999999999996,8.511601921470339,0.0,2,-1.0
2,-0.001629060794542788,0.002072079341305534,-0.0028653174922455525,-0.00792804865109917,1110.890000000014,504988.38,1269.1499999999942,1132.4599999999919,131681.75999999998,1.5,23.8,12.189285714285713,0.0,13.6,129.1,311.39999999999986,311.39999999999986,1449.0999999999997,8.835530492898911,0.0,3,-1.0
4,-0.002860796693178425,-0.000687397282002435,0.007399061302073896,-0.004522597136206662,1110.890000000014,504988.38,1269.1499999999942,1132.4599999999919,131681.75999999998,-0.3,20.9,9.392857142857144,0.0,8.6,126.19999999999999,291.09999999999985,291.09999999999985,1339.3999999999996,9.729280492898912,0.03,4,-1.0
6,-0.0007076500023441531,-0.005189673128610015,-0.0015017328213026765,-0.006421520812915998,1110.890000000014,504988.38,1269.1499999999942,1132.4599999999919,131681.75999999998,1.1,23.1,11.785185185185185,15.900000000000002,21.1,29.19999999999999,291.09999999999985,291.09999999999985,1315.7999999999997,10.207757936507935,0.0,5,-1.0
8,-0.010984853549590126,-0.014512099176183766,-0.012364095350570974,-0.004372124852678511,6712.84,506392.7,7932.37999999995,8045.84999999998,44239.01999999996,-1.1,22.1,11.092857142857143,0.0,20.3,31.099999999999994,306.99999999999983,306.99999999999983,1207.2999999999997,10.894332010582009,0.11000000000000001,6,1.0
11,8.260233959352929e-05,-0.011603092966746087,-0.01603624788408643,-0.0123885177748002,6712.84,506392.7,7932.37999999995,8045.84999999998,44239.01999999996,4.1,23.0,12.542857142857141,93.30000000000001,17.2,15.899999999999995,306.99999999999983,306.99999999999983,1162.4999999999998,11.115046296296294,0.0,7,1.0
13,0.011254095717051984,0.00022823194212281533,-0.003339004282090301,-0.001166647188866222,6712.84,506392.7,7932.37999999995,8045.84999999998,44239.01999999996,5.9,25.2,13.825925925925926,29.700000000000003,10.8,109.2,243.89999999999986,243.89999999999986,1220.9999999999998,11.203439153439149,0.0,8,-1.0
14,-0.006815770378053088,0.0044445826263893465,-0.007292081242391522,-0.011744571896912486,6712.84,506392.7,7932.37999999995,8045.84999999998,44239.01999999996,-3.0,27.0,10.337499999999997,9.3,13.3,138.9,273.29999999999984,273.29999999999984,1249.7999999999997,12.311706349206345,0.3,9,1.0
17,0.0003899271644961932,0.0047532478853968855,-0.006201736114689395,-0.009746040357740316,178797.44,527600.31,186621.16999999998,186822.83999999997,187372.46999999997,5.8,24.9,14.5,16.2,16.9,132.3,282.59999999999985,282.59999999999985,1230.5999999999997,11.949785052910048,0.0,10,-1.0
18,-0.003140893877432829,-0.009549203505991059,0.0016801588513824667,-0.010024203471649321,178797.44,527600.31,186621.16999999998,186822.83999999997,187372.46999999997,1.6,22.1,11.533333333333333,60.800000000000004,18.3,148.5,298.79999999999984,298.79999999999984,1246.5999999999997,12.801570767195763,0.0,11,-1.0
